Sequence ID,H_F1-FR1,H_F2-FR1,H_F3-FR1,H_F4-FR1,H_F5-FR1,H_F1-CDR1,H_F2-CDR1,H_F3-CDR1,H_F4-CDR1,H_F5-CDR1,H_F1-FR2,H_F2-FR2,H_F3-FR2,H_F4-FR2,H_F5-FR2,H_F1-CDR2,H_F2-CDR2,H_F3-CDR2,H_F4-CDR2,H_F5-CDR2,H_F1-FR3,H_F2-FR3,H_F3-FR3,H_F4-FR3,H_F5-FR3,L_F1-FR1,L_F2-FR1,L_F3-FR1,L_F4-FR1,L_F5-FR1,L_F1-CDR1,L_F2-CDR1,L_F3-CDR1,L_F4-CDR1,L_F5-CDR1,L_F1-FR2,L_F2-FR2,L_F3-FR2,L_F4-FR2,L_F5-FR2,L_F1-CDR2,L_F2-CDR2,L_F3-CDR2,L_F4-CDR2,L_F5-CDR2,L_F1-FR3,L_F2-FR3,L_F3-FR3,L_F4-FR3,L_F5-FR3,is_sarscov2_related
Liu_10-40,-0.127,0.2,-1.12,0.583,-0.729,-0.272,0.942,-0.796,0.376,-0.279,-0.072,0.289,0.031,0.098,0.155,-0.017,0.562,1.104,0.504,1.038,-0.109,0.135,-0.742,0.453,-0.449,-0.064,0.292,-0.448,0.259,-0.191,-0.212,0.707,-0.894,0.501,-0.345,-0.011,0.543,-0.39,0.179,-0.289,1.117,-0.108,-0.293,-0.105,-1.049,0.051,0.427,-1.08,0.409,-0.644,1
Liu_10-5B,-0.312,0.258,-0.908,0.709,-0.446,-0.241,0.409,0.272,0.651,0.463,-0.212,0.103,-0.578,0.355,-0.281,-0.124,0.724,1.945,0.47,1.431,0.153,0.052,-0.23,0.287,-0.068,-0.214,0.294,-1.054,0.538,-0.557,-0.258,0.443,-0.236,0.064,-0.082,0.127,0.002,-0.245,0.248,0.013,-0.47,-0.402,-2.075,1.27,-0.98,-0.18,0.487,-0.669,0.459,-0.366,1
Liu_11-11,-0.157,0.28,-1.261,0.557,-0.784,-0.294,1.192,-0.063,0.491,0.416,-0.013,0.267,0.253,-0.156,0.33,-0.227,0.841,0.335,0.287,0.275,-0.069,0.234,-0.608,0.423,-0.391,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.136,0.081,-0.215,0.19,-0.119,0.111,1.293,-0.71,0.515,0.117,0.027,0.329,-0.678,0.509,-0.308,1
Liu_13-1F,-0.232,0.195,-1.023,0.707,-0.53,-0.293,0.734,-0.334,0.596,-0.249,-0.168,0.077,-0.488,0.29,-0.277,-0.401,0.869,-0.001,0.572,0.215,0.054,0.068,-0.153,0.295,0.003,0.056,0.059,-1.139,0.325,-0.528,-0.148,0.759,-0.994,0.24,-0.459,0.054,0.042,-0.15,0.217,0.025,-0.47,-0.402,-2.075,1.27,-0.98,-0.112,0.361,-0.328,0.459,-0.167,1
Liu_13-2G,-0.157,0.28,-1.261,0.557,-0.784,-0.028,1.027,-0.07,0.248,0.189,-0.027,0.149,0.293,0.042,0.512,-0.269,0.769,0.209,0.537,0.246,-0.004,0.143,-0.672,0.428,-0.409,-0.142,0.516,-1.232,0.467,-0.794,-0.151,0.636,0.088,0.313,0.175,-0.032,0.384,-0.153,0.232,-0.142,1.117,-0.108,-0.293,-0.105,-1.049,0.051,0.427,-1.08,0.409,-0.644,1
Liu_13-3B,-0.28,0.344,-1.084,0.705,-0.467,-0.158,0.568,-0.053,0.432,0.099,-0.156,0.014,-0.077,0.304,-0.044,-0.361,1.336,-1.223,0.745,-0.291,0.106,0.079,-0.148,0.246,-0.023,-0.168,0.41,-0.565,0.373,-0.323,-0.212,0.707,-0.894,0.501,-0.345,-0.032,0.384,-0.153,0.232,-0.142,1.117,-0.108,-0.293,-0.105,-1.049,0.051,0.427,-1.08,0.409,-0.644,1
Liu_14-1C,0.049,0.012,-1.032,0.492,-0.503,-0.37,0.489,1.209,-0.148,0.6,0.022,-0.017,0.675,0.035,0.607,-0.207,0.798,-2.104,0.647,-1.23,-0.146,0.168,-0.478,0.368,-0.226,-0.253,0.384,-0.218,0.366,-0.033,-0.117,0.777,0.345,0.448,0.332,-0.079,0.444,-0.303,0.155,-0.232,1.152,-0.283,-1.945,-0.135,-2.44,0.051,0.427,-1.08,0.409,-0.644,1
Liu_14-2G,-0.002,0.094,-1.21,0.543,-0.682,-0.178,0.825,1.582,0.5,1.075,-0.055,0.111,-0.06,0.201,0.161,-0.857,-0.06,0.414,0.84,0.1,0.042,-0.01,-0.029,0.391,-0.058,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.21,-0.002,-0.286,0.216,-0.184,0.184,0.459,0.685,0.301,0.201,0.035,0.314,-0.705,0.489,-0.343,1
Liu_14-5G,-0.032,0.029,-1.228,0.584,-0.559,-0.137,0.835,0.651,0.048,0.379,-0.185,-0.024,0.159,0.072,0.19,-0.19,1.13,0.406,0.67,0.652,0.04,0.06,-0.015,0.345,-0.02,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.136,0.081,-0.215,0.19,-0.119,0.059,1.377,1.32,0.64,1.687,0.035,0.314,-0.705,0.489,-0.343,1
Liu_14-6A,-0.23,0.357,-1.074,0.685,-0.418,-0.172,0.457,0.527,0.205,0.142,-0.156,-0.189,-0.069,0.217,0.022,0.251,0.663,-0.598,0.154,-0.195,0.03,0.05,-0.06,0.305,-0.006,-0.273,0.524,-1.446,0.594,-0.934,0.577,0.2,0.881,0.125,1.149,-0.13,0.224,-0.447,0.134,-0.4,0.747,0.318,-1.188,-0.533,-1.194,0.09,0.284,-0.135,0.39,0.06,1
Liu_16-2G,-0.002,0.094,-1.21,0.543,-0.682,-0.271,0.727,0.732,0.438,0.549,-0.055,0.111,-0.06,0.201,0.161,-0.845,-0.093,0.748,0.734,0.36,0.042,0.077,-0.491,0.391,-0.256,-0.165,0.119,-0.859,0.516,-0.498,0.783,0.692,0.461,-0.159,0.552,0.046,0.264,-0.411,0.136,-0.254,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
Liu_16-3D,-0.147,0.272,-1.36,0.572,-0.902,-0.012,0.976,-1.442,0.286,-0.907,-0.022,0.414,0.256,-0.044,0.253,-0.444,0.713,0.651,0.525,0.494,-0.017,0.126,-0.287,0.408,-0.094,-0.307,0.239,-1.32,0.606,-0.778,0.118,0.114,0.333,-0.164,-0.17,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
Liu_2-2E,-0.299,0.268,-1.094,0.697,-0.442,-0.251,0.696,-0.029,0.391,-0.04,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.124,0.085,-0.027,0.271,0.048,-0.354,0.13,-1.575,0.777,-0.844,-0.258,0.855,-1.724,0.284,-0.815,0.343,-0.076,-0.158,-0.108,0.076,0.067,0.597,-1.961,0.25,-0.933,0.101,0.358,-0.881,0.356,-0.519,1
Liu_3-1C,-0.282,0.217,-0.915,0.722,-0.402,0.036,0.017,0.762,0.182,0.228,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.124,0.085,-0.027,0.271,0.048,-0.292,0.261,-0.994,0.609,-0.519,-0.089,0.538,-0.847,0.217,-0.584,0.167,0.119,-0.538,0.197,-0.114,-0.47,-0.402,-2.075,1.27,-0.98,-0.181,0.398,-0.895,0.463,-0.559,1
Liu_3-7D,-0.286,0.228,-1.022,0.756,-0.485,-0.251,0.696,-0.029,0.391,-0.04,-0.168,0.077,-0.488,0.29,-0.277,-0.291,0.805,1.079,0.59,0.919,0.082,0.066,-0.034,0.282,0.01,-0.165,0.119,-0.859,0.516,-0.498,0.783,0.692,0.461,-0.159,0.552,0.12,0.15,-0.237,-0.004,-0.087,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
MnC1t3p1_G9,-0.273,0.199,-1.061,0.757,-0.471,-0.035,0.137,1.561,0.27,1.175,-0.1,0.127,0.033,0.292,0.152,0.191,0.597,-1.207,0.451,-0.586,0.139,0.08,-0.384,0.266,-0.113,-0.318,0.424,-0.742,0.734,-0.497,-0.02,0.691,-0.379,0.291,-0.269,0.048,0.335,0.061,0.08,-0.023,0.654,0.485,-0.048,0.16,-0.332,0.026,0.086,-0.399,0.418,-0.123,1
MnC2t1p1_A3,-0.286,0.228,-1.022,0.756,-0.485,-0.251,0.696,-0.029,0.391,-0.04,-0.185,0.106,-0.431,0.332,-0.203,-0.319,0.959,0.083,0.556,0.354,0.111,0.137,-0.083,0.253,-0.014,-0.214,0.294,-1.054,0.538,-0.557,-0.29,0.622,-1.399,0.024,-0.742,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
MnC2t1p1_C5,-0.286,0.228,-1.022,0.756,-0.485,-0.251,0.696,-0.029,0.391,-0.04,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.124,0.085,-0.027,0.271,0.048,-0.214,0.294,-1.054,0.538,-0.557,-0.29,0.622,-1.399,0.024,-0.742,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
MnC2t2p1_C11,-0.019,0.145,-1.389,0.518,-0.723,-0.034,0.693,1.102,0.473,1.116,-0.114,-0.003,0.346,0.185,0.365,-0.666,-0.262,0.125,0.571,-0.303,0.063,0.016,-0.149,0.361,-0.083,-0.201,0.265,-1.093,0.539,-0.543,0.073,0.622,-1.0,0.037,-0.648,0.144,0.168,-0.031,0.114,0.089,-0.47,-0.402,-2.075,1.27,-0.98,-0.164,0.499,-0.751,0.442,-0.462,1
MnC4t1p1_A10,-0.14,0.229,-1.082,0.582,-0.743,-0.236,0.465,-0.694,0.214,-0.243,-0.174,0.472,0.022,0.152,0.326,-0.134,0.524,-0.333,-0.003,0.104,-0.061,0.205,-0.722,0.467,-0.416,-0.201,0.265,-1.093,0.539,-0.543,0.473,0.333,-0.067,0.158,0.269,0.293,0.114,0.367,0.167,0.481,-0.47,-0.402,-2.075,1.27,-0.98,-0.155,0.396,-0.571,0.476,-0.402,1
MnC4t2p1_B3,-0.18,0.077,-1.135,0.631,-0.537,-0.082,0.116,0.297,0.172,-0.115,-0.122,0.144,-0.185,0.133,0.004,-0.518,0.432,0.329,0.314,0.369,0.145,0.069,-0.325,0.268,-0.033,-0.262,0.259,-1.058,0.517,-0.576,-0.29,0.622,-1.399,0.024,-0.742,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.23,0.345,-0.66,0.519,-0.423,1
MnC4t2p1_D10,-0.14,0.229,-1.082,0.582,-0.743,-0.236,0.465,-0.694,0.214,-0.243,-0.174,0.472,0.022,0.152,0.326,-0.134,0.524,-0.333,-0.003,0.104,-0.061,0.205,-0.722,0.467,-0.416,-0.201,0.265,-1.093,0.539,-0.543,0.473,0.333,-0.067,0.158,0.269,0.293,0.114,0.367,0.167,0.481,-0.47,-0.402,-2.075,1.27,-0.98,-0.155,0.396,-0.571,0.476,-0.402,1
MnC4t2p1_E6,-0.18,0.077,-1.135,0.631,-0.537,-0.082,0.116,0.297,0.172,-0.115,-0.122,0.144,-0.185,0.133,0.004,-0.518,0.432,0.329,0.314,0.369,0.123,0.111,-0.229,0.328,0.06,-0.214,0.294,-1.054,0.538,-0.557,-0.29,0.622,-1.399,0.024,-0.742,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.23,0.345,-0.66,0.519,-0.423,1
MnC4t2p1_F5,-0.14,0.229,-1.082,0.582,-0.743,-0.236,0.465,-0.694,0.214,-0.243,-0.174,0.472,0.022,0.152,0.326,-0.134,0.524,-0.333,-0.003,0.104,-0.061,0.205,-0.722,0.467,-0.416,-0.201,0.265,-1.093,0.539,-0.543,0.473,0.333,-0.067,0.158,0.269,0.293,0.114,0.367,0.167,0.481,-0.47,-0.402,-2.075,1.27,-0.98,-0.155,0.396,-0.571,0.476,-0.402,1
NA8,-0.101,0.113,-0.934,0.686,-0.435,-0.254,0.823,0.165,0.204,0.263,-0.112,-0.249,-0.08,0.236,0.087,0.022,0.624,-0.555,-0.001,-0.179,0.139,0.099,-0.388,0.28,-0.181,-0.192,0.248,-1.238,0.574,-0.612,-0.122,0.717,-2.01,0.177,-1.244,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
Omi-18,-0.299,0.268,-1.094,0.697,-0.442,-0.28,0.701,0.001,0.49,0.01,-0.138,-0.028,-0.134,0.305,-0.023,-0.42,0.277,-0.282,0.904,0.256,-0.026,0.135,-0.018,0.345,0.091,-0.114,0.477,-0.398,0.557,-0.174,0.437,0.386,-0.998,0.43,-0.232,-0.122,0.151,-0.566,0.155,-0.469,0.624,0.668,-4.024,0.051,-3.044,0.089,0.297,0.065,0.443,0.076,1
Omi-25,-0.226,0.21,-1.194,0.707,-0.492,-0.082,0.116,0.297,0.172,-0.115,-0.122,0.144,-0.185,0.133,0.004,-0.4,0.699,-0.84,0.193,-0.437,0.012,-0.167,0.023,0.351,0.063,-0.179,0.331,-0.975,0.513,-0.484,-0.089,0.538,-0.847,0.217,-0.584,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.197,0.424,-0.653,0.419,-0.412,1
Omi-31,-0.002,0.094,-1.21,0.543,-0.682,-0.298,1.04,0.209,0.518,0.517,-0.283,0.164,0.018,0.341,0.168,-0.454,-0.093,-0.547,0.71,-0.385,0.035,0.003,-0.042,0.355,0.047,-0.196,0.71,-1.257,0.59,-0.638,-0.043,0.845,-1.37,0.491,-0.757,-0.1,0.155,-0.04,0.267,-0.06,0.619,0.661,1.604,0.19,1.06,0.009,0.322,-0.97,0.467,-0.52,1
Omi-42,-0.188,0.088,-0.775,0.742,-0.279,-0.055,0.336,-0.183,0.111,-0.453,-0.218,0.078,-0.471,0.316,-0.175,-0.386,0.633,-1.459,0.182,-0.959,0.1,0.045,-0.177,0.339,0.034,-0.307,0.603,-1.224,0.642,-0.683,-0.005,0.957,-0.396,0.285,-0.19,-0.033,0.054,-0.357,-0.022,-0.142,-0.069,-0.111,-1.276,0.675,-1.582,0.099,0.342,-0.744,0.461,-0.351,1
Omi-6,-0.201,0.145,-0.842,0.677,-0.665,-0.112,0.966,-0.611,0.512,0.177,-0.01,0.193,0.272,0.141,0.481,-0.237,0.819,0.096,0.356,0.41,-0.008,0.111,-0.699,0.412,-0.424,-0.206,0.215,-0.787,0.618,-0.222,-0.333,0.48,-2.21,0.251,-1.428,0.07,-0.126,-0.187,0.08,0.079,0.077,0.133,-3.05,0.66,-2.012,-0.191,0.434,-0.92,0.467,-0.538,1
Omi-9,-0.239,0.239,-1.156,0.706,-0.506,-0.157,0.075,1.675,0.405,1.222,-0.125,0.065,-0.239,0.299,-0.152,0.251,0.663,-0.598,0.154,-0.195,0.104,0.06,-0.099,0.323,0.013,-0.089,0.554,-1.001,0.503,-0.63,0.267,-0.02,-0.54,0.273,-0.191,0.002,0.443,-0.019,0.055,-0.175,0.884,0.38,-2.628,0.045,-1.414,-0.008,0.313,-0.323,0.488,-0.277,1
P003_014,-0.303,0.279,-1.201,0.731,-0.526,-0.197,0.591,-0.344,0.175,-0.353,-0.104,-0.194,-0.091,0.212,0.099,-0.23,0.344,0.69,0.801,0.597,0.1,0.12,0.138,0.303,0.18,-0.201,0.265,-1.093,0.539,-0.543,-0.122,0.717,-2.01,0.177,-1.244,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
P003_017,-0.286,0.228,-1.022,0.756,-0.485,-0.251,0.696,-0.029,0.391,-0.04,-0.099,0.043,-0.131,0.24,-0.066,-0.319,0.959,0.083,0.556,0.354,0.129,0.163,0.027,0.258,0.106,-0.323,0.182,-0.728,0.566,-0.397,-0.148,0.759,-0.994,0.24,-0.459,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.162,0.401,-0.502,0.466,-0.321,1
P008_003,-0.16,-0.118,-1.048,0.446,-0.532,-0.176,1.103,0.095,0.384,0.469,0.043,0.28,0.161,0.012,0.115,-0.119,0.663,-0.603,0.292,-0.035,-0.043,0.205,-0.77,0.485,-0.432,-0.198,0.574,-1.134,0.627,-0.524,0.071,0.54,-1.079,0.314,-0.733,-0.136,0.081,-0.215,0.19,-0.119,0.111,1.293,-0.71,0.515,0.117,0.035,0.314,-0.705,0.489,-0.343,1
P008_015,-0.209,0.159,-1.015,0.732,-0.452,-0.082,0.116,0.297,0.172,-0.115,-0.079,0.083,-0.196,0.152,0.07,-0.351,0.431,0.904,0.253,0.553,0.155,0.004,0.052,0.27,0.181,-0.114,0.477,-0.398,0.557,-0.174,0.09,0.737,0.31,0.451,0.813,-0.122,0.151,-0.566,0.155,-0.469,0.624,0.668,-4.024,0.051,-3.044,0.08,0.335,-0.203,0.46,-0.092,1
P008_024,-0.239,0.239,-1.156,0.706,-0.506,-0.351,0.626,1.151,0.368,0.805,-0.156,-0.189,-0.069,0.217,0.022,0.251,0.663,-0.598,0.154,-0.195,0.124,0.085,-0.027,0.271,0.048,-0.208,0.21,-1.094,0.526,-0.692,0.482,0.344,0.194,-0.258,-0.15,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.147,0.366,-0.332,0.443,-0.252,1
P008_036,-0.239,0.239,-1.156,0.706,-0.506,-0.229,0.688,1.036,0.233,0.758,-0.156,-0.189,-0.069,0.217,0.022,0.192,0.551,-0.48,0.203,-0.506,0.104,0.112,-0.022,0.263,0.019,-0.248,0.392,-0.964,0.491,-0.578,0.416,0.658,-0.207,0.208,0.108,-0.036,0.312,-0.294,0.121,-0.191,-0.069,-0.111,-1.276,0.675,-1.582,-0.045,0.332,-0.341,0.427,-0.202,1
P008_038,-0.019,0.145,-1.389,0.518,-0.723,-0.254,0.874,0.319,0.501,0.423,-0.055,0.111,-0.06,0.201,0.161,-0.816,-0.098,0.718,0.635,0.309,0.057,-0.03,-0.156,0.359,-0.109,-0.233,0.6,-0.809,0.622,-0.425,-0.089,0.69,-0.525,0.459,-0.144,-0.21,-0.002,-0.286,0.216,-0.184,0.111,1.293,-0.71,0.515,0.117,0.075,0.277,-0.844,0.452,-0.49,1
P008_044,-0.221,0.188,-0.977,0.731,-0.466,-0.229,0.688,1.036,0.233,0.758,-0.156,-0.189,-0.069,0.217,0.022,0.192,0.551,-0.48,0.203,-0.506,0.104,0.112,-0.022,0.263,0.019,-0.252,0.402,-1.071,0.525,-0.661,0.416,0.658,-0.207,0.208,0.108,-0.036,0.312,-0.294,0.121,-0.191,-0.069,-0.111,-1.276,0.675,-1.582,-0.045,0.332,-0.341,0.427,-0.202,1
P008_047,-0.252,0.239,-0.518,0.705,-0.185,-0.251,0.696,-0.029,0.391,-0.04,-0.079,0.049,0.085,0.284,0.108,-0.319,0.959,0.083,0.556,0.354,0.088,0.128,-0.37,0.287,-0.15,-0.32,0.267,-1.282,0.605,-0.792,0.581,0.196,0.228,-0.156,0.177,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.143,0.392,-0.337,0.432,-0.247,1
P008_055,-0.205,0.149,-0.908,0.698,-0.369,-0.082,0.116,0.297,0.172,-0.115,-0.079,0.083,-0.196,0.152,0.07,-0.545,0.487,0.783,0.205,0.585,0.138,-0.01,-0.178,0.251,0.027,-0.219,0.532,-0.942,0.645,-0.43,-0.056,0.91,-0.751,0.502,-0.235,-0.1,0.155,-0.04,0.267,-0.06,0.589,0.843,-2.372,0.081,-1.652,0.039,0.391,-1.13,0.448,-0.599,1
P008_057,-0.291,0.225,-0.815,0.707,-0.284,-0.298,0.308,0.05,0.712,0.107,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.071,0.074,-0.054,0.274,-0.01,-0.296,0.272,-1.101,0.643,-0.602,-0.164,0.804,-1.44,0.381,-0.805,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.162,0.401,-0.502,0.466,-0.321,1
P008_067,-0.216,0.104,-1.016,0.719,-0.601,0.036,0.017,0.762,0.182,0.228,-0.099,0.043,-0.131,0.24,-0.066,-0.319,0.959,0.083,0.556,0.354,0.059,0.025,-0.061,0.269,0.006,-0.323,0.182,-0.728,0.566,-0.397,0.473,0.333,-0.067,0.158,0.269,0.268,0.189,0.103,0.131,0.421,-0.47,-0.402,-2.075,1.27,-0.98,-0.153,0.415,-0.477,0.417,-0.315,1
P008_068,-0.286,0.228,-1.022,0.756,-0.485,-0.251,0.696,-0.029,0.391,-0.04,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.124,0.085,-0.027,0.271,0.048,-0.354,0.13,-1.575,0.777,-0.844,-0.054,0.708,-2.008,0.426,-0.738,0.343,-0.076,-0.158,-0.108,0.076,-0.077,0.319,-0.976,0.21,-0.438,0.15,0.318,-0.707,0.349,-0.365,1
P008_070,-0.227,0.219,-1.195,0.677,-0.556,-0.378,0.71,-0.145,0.546,0.145,-0.156,-0.189,-0.069,0.217,0.022,0.251,0.663,-0.598,0.154,-0.195,0.124,0.085,-0.027,0.271,0.048,-0.225,0.261,-1.273,0.501,-0.733,0.286,0.439,-0.816,-0.118,-0.747,0.161,0.072,0.003,0.051,0.235,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
P008_076,-0.286,0.228,-1.022,0.756,-0.485,-0.348,0.482,-0.354,0.111,-0.415,-0.092,-0.02,0.03,0.181,0.229,-0.091,0.416,0.559,0.648,0.543,0.047,0.098,0.115,0.334,0.28,-0.307,0.503,-0.568,0.489,-0.267,-0.099,0.684,-1.155,0.297,-1.024,0.041,0.138,-0.286,-0.048,-0.077,-0.069,-0.111,-1.276,0.675,-1.582,0.063,0.369,-0.598,0.45,-0.232,1
P008_083,-0.303,0.279,-1.201,0.731,-0.526,-0.134,0.63,0.758,0.385,0.458,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.074,0.015,-0.137,0.249,-0.007,-0.316,0.257,-1.175,0.571,-0.709,0.286,0.439,-0.816,-0.118,-0.747,0.179,0.116,-0.019,0.15,0.204,0.077,0.133,-3.05,0.66,-2.012,-0.134,0.418,-0.325,0.449,-0.269,1
P008_085,-0.239,0.239,-1.156,0.706,-0.506,-0.376,0.76,0.279,0.338,0.31,-0.156,-0.189,-0.069,0.217,0.022,0.264,0.597,-1.218,0.143,-0.717,0.103,0.022,0.058,0.287,0.094,-0.003,0.105,-0.534,0.45,-0.188,0.735,0.556,-0.676,-0.037,0.075,0.046,0.264,-0.411,0.136,-0.254,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
P008_087,-0.157,0.28,-1.261,0.557,-0.784,-0.072,0.97,-0.143,0.358,0.374,-0.013,0.267,0.253,-0.156,0.33,-0.227,0.841,0.335,0.287,0.275,-0.012,0.174,-0.634,0.41,-0.376,-0.316,0.257,-1.175,0.571,-0.709,0.482,0.344,0.194,-0.258,-0.15,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.164,0.351,0.049,0.434,-0.01,1
P008_090,-0.274,0.174,-0.636,0.731,-0.243,-0.272,0.224,1.346,0.534,0.767,-0.091,0.112,-0.325,0.27,-0.125,-0.319,0.959,0.083,0.556,0.354,0.083,0.061,-0.033,0.302,0.052,-0.316,0.257,-1.175,0.571,-0.709,0.581,0.196,0.228,-0.156,0.177,0.086,0.138,0.023,0.178,0.111,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
P008_092,-0.14,0.229,-1.082,0.582,-0.743,0.079,0.622,-0.166,0.208,-0.091,0.01,0.429,0.508,0.017,0.496,-0.196,0.778,-0.184,0.412,0.028,-0.081,0.205,-0.583,0.453,-0.414,-0.254,0.339,-0.919,0.601,-0.386,0.473,0.333,-0.067,0.158,0.269,0.268,0.189,0.103,0.131,0.421,-0.47,-0.402,-2.075,1.27,-0.98,-0.171,0.438,-0.526,0.47,-0.3,1
P008_096,-0.14,0.229,-1.082,0.582,-0.743,-0.212,0.905,-1.085,0.297,-0.33,0.01,0.429,0.508,0.017,0.496,-0.227,0.841,0.335,0.287,0.275,-0.061,0.215,-0.633,0.423,-0.382,-0.225,0.261,-1.273,0.501,-0.733,0.286,0.439,-0.816,-0.118,-0.747,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.118,0.332,0.086,0.442,-0.035,1
P008_103,-0.286,0.228,-1.022,0.756,-0.485,0.036,0.017,0.762,0.182,0.228,-0.08,0.001,-0.188,0.242,-0.045,-0.291,0.805,1.079,0.59,0.919,0.114,0.014,0.079,0.295,0.114,-0.33,0.278,-1.324,0.662,-0.794,0.482,0.344,0.194,-0.258,-0.15,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
P008_108,-0.25,0.212,-0.881,0.765,-0.345,-0.136,0.52,0.638,-0.013,0.167,-0.068,0.126,-0.116,0.117,0.009,-0.469,0.558,-0.509,0.759,-0.228,0.117,0.023,-0.13,0.289,0.019,-0.316,0.257,-1.175,0.571,-0.709,0.434,0.207,-0.943,-0.136,-0.628,0.013,0.198,0.387,0.303,0.371,0.077,0.133,-3.05,0.66,-2.012,-0.126,0.493,-0.193,0.41,-0.15,1
P054_003,-0.086,0.138,-1.043,0.575,-0.578,-0.452,0.445,1.554,0.126,0.826,-0.147,0.008,0.073,-0.076,0.131,-0.024,1.027,0.402,0.518,0.511,0.092,0.031,-0.016,0.296,0.068,-0.201,0.265,-1.093,0.539,-0.543,0.075,0.202,-1.017,-0.044,-0.93,0.192,0.044,-0.274,0.233,-0.054,0.077,0.133,-3.05,0.66,-2.012,-0.126,0.381,-0.057,0.432,-0.102,1
P054_004,-0.193,-0.028,-0.85,0.458,-0.513,-0.044,0.715,0.338,0.184,0.179,0.043,0.28,0.161,0.012,0.115,-0.431,0.466,-0.484,0.372,-0.052,-0.063,0.248,-0.757,0.457,-0.458,-0.273,0.551,-1.124,0.621,-0.555,0.006,0.927,-0.099,0.191,0.041,0.041,0.138,-0.286,-0.048,-0.077,-0.106,0.116,-0.662,0.63,-1.064,0.033,0.37,-0.435,0.482,-0.105,1
P054_022,-0.269,0.132,-1.226,0.688,-0.828,-0.136,1.086,-1.414,0.607,-0.535,-0.022,0.414,0.256,-0.044,0.253,-0.216,0.663,-0.346,0.196,0.048,-0.043,0.242,-0.632,0.414,-0.359,-0.216,0.656,-1.275,0.622,-0.643,-0.005,0.957,-0.396,0.285,-0.19,0.013,0.171,-0.749,0.041,-0.322,-0.069,-0.111,-1.276,0.675,-1.582,0.099,0.342,-0.744,0.461,-0.351,1
P054_027,-0.157,0.28,-1.261,0.557,-0.784,-0.151,1.057,-0.562,0.36,-0.115,-0.099,0.446,0.019,-0.035,0.286,-0.297,0.923,-0.787,0.503,-0.319,-0.052,0.197,-0.658,0.424,-0.372,-0.209,0.332,-0.289,0.362,-0.185,-0.212,0.707,-0.894,0.501,-0.345,-0.032,0.384,-0.153,0.232,-0.142,1.117,-0.108,-0.293,-0.105,-1.049,0.051,0.427,-1.08,0.409,-0.644,1
